brand_code_uc,brand_descr,week_end,revenue
615969,PEOPLE,3/17/2018,840517.13
615969,PEOPLE,3/24/2018,943071.73
615969,PEOPLE,3/31/2018,1153705.08
615969,PEOPLE,4/7/2018,1130911.01
615969,PEOPLE,4/14/2018,1043851.26
615969,PEOPLE,4/21/2018,950730.82
615969,PEOPLE,4/28/2018,1020396.29
615969,PEOPLE,5/5/2018,1103021.84
615969,PEOPLE,5/12/2018,1247379.3
615969,PEOPLE,5/19/2018,1039524.08
615969,PEOPLE,5/26/2018,1110955.79
615969,PEOPLE,6/2/2018,1503511.79
615969,PEOPLE,6/9/2018,1181782.05
615969,PEOPLE,6/16/2018,1014179.46
615969,PEOPLE,6/23/2018,1013853.85
615969,PEOPLE,6/30/2018,776523.05
615969,PEOPLE,7/7/2018,1084889.08
615969,PEOPLE,7/14/2018,1003223.54
615969,PEOPLE,7/21/2018,1011322.27
615969,PEOPLE,7/28/2018,1009648.08
615969,PEOPLE,8/4/2018,917473.24
615969,PEOPLE,8/11/2018,905523.1
615969,PEOPLE,8/18/2018,931307.82
615969,PEOPLE,8/25/2018,971615.02
615969,PEOPLE,9/1/2018,989617.05
615969,PEOPLE,9/8/2018,965400.77
615969,PEOPLE,9/15/2018,956081.23
615969,PEOPLE,9/22/2018,880364.78
615969,PEOPLE,9/29/2018,710082.86
615969,PEOPLE,10/6/2018,648136.1
615969,PEOPLE,10/13/2018,865541.19
615969,PEOPLE,10/20/2018,909635.24
615969,PEOPLE,10/27/2018,852561
615969,PEOPLE,11/3/2018,951501.04
615969,PEOPLE,11/10/2018,954836.67
615969,PEOPLE,11/17/2018,768825.56
615969,PEOPLE,11/24/2018,896713.21
615969,PEOPLE,12/1/2018,723890.67
615969,PEOPLE,12/8/2018,699147.96
615969,PEOPLE,12/15/2018,795857.43
615969,PEOPLE,12/22/2018,982630.97
615969,PEOPLE,12/29/2018,1071127.78
617480,PHILIPS NORELCO,1/6/2018,1243600.72
617480,PHILIPS NORELCO,1/13/2018,1221499.12
